naslov,avtor,cas_priprave,cas_kuhanja,stevilo_ocenjevalcev,ocena,dieta,zvrst
Baked bass with creamed leeks,Nick Nairn,0-30,10-30,0,0.0,0,Main course
Baked bean falafel ,Nadiya Hussain,30-60,30-60,11,4.64,Vegetarian,Main course
Baked bean shakshuka ,Emerald Lewis,0-30,10-30,18,3.83,Vegetarian,Brunch
Baked bean soup,Kate Morris and Sally Brown,0-30,10-30,1,5.0,0,Light meals and snacks
Baked beans with bubble and squeak hash browns,The Pigott Family  ,0-30,60-120,2,3.0,0,Brunch
Baked berry slump with coconut ice cream,Shivi Ramoutar,0-30,30-60,5,4.8,Vegetarian,Desserts
Baked blue cheese fondue,James Tanner,0-30,10-30,0,0.0,0,Recipe
Baked blueberry cheesecake with blueberry compôte,James Martin,0-30,00-120,3,5.0,Vegetarian,Cakes and baking
Baked brie in sweet dough,Richard Bertinet,00-120,30-60,5,4.2,Vegetarian,Cakes and baking
"Baked brown-sugar cheesecake, pear sorbet and tomato caramel",Mark Greenaway,overnight,00-120,0,0.0,0,Desserts
Baked burrito,Aaron Craze,0-30,30-60,1,5.0,0,Main course
Baked camembert ,Raymond Blanc,30-60,30-60,4,4.5,Vegetarian,Starters and nibbles
Baked camembert with garlic bread,Richard Phillips,0-30,10-30,5,5.0,Vegetarian,Starters and nibbles
Baked celeriac and crispy duck egg salad,Bryn Williams,30-60,60-120,0,0.0,Vegetarian,Light meals and snacks
Baked celeriac with smoked trout and caper salsa,Yotam Ottolenghi,30-60,60-120,1,5.0,0,Main course
Baked cheese,Phil Vickery,0-30,10-30,0,0.0,Vegetarian,Starters and nibbles
"Baked cheesecake with blackberries, blueberries and  figs ",Lorraine Pascale,0-30,30-60,4,5.0,Vegetarian,Desserts
Baked cheesecake with blueberries,Rachel Allen,0-30,60-120,3,4.67,Vegetarian,Cakes and baking
Baked chicken curry,Madhur Jaffrey,0-30,10-30,12,4.42,0,Main course
"Baked chicken, prawn and chorizo rice",Silvana Franco,0-30,30-60,72,4.72,0,Main course
"Baked chilli feta with tomatoes, olives and a poached egg",Maria Elia,0-30,0-10,0,0.0,Vegetarian,Recipe
Baked chocolate mousse with passion fruit,James Martin,0-30,10-30,0,0.0,Vegetarian,Desserts
Baked cod with curry sauce and crispy shallots,Tom Brown,30-60,30-60,2,5.0,0,Main course
Baked courgette with parmesan,Kate Morris and Sally Brown,0-30,10-30,1,4.0,0,Light meals and snacks
Baked crab 'poblano' with achiote,Rick Stein,0-30,10-30,0,0.0,0,Starters and nibbles
Baked crab custard pots,Michel Roux Jr.,0-30,10-30,0,0.0,0,Starters and nibbles
Baked crumble nectarines,Kate Morris and Sally Brown,0-30,10-30,0,0.0,Vegetarian,Desserts
Baked cumin sweet potatoes with yoghurt and mint,Lesley Waters,0-30,10-30,0,0.0,Vegetarian,Recipe
Baked egg with ham and spinach,Fiona Hunter,0-30,10-30,8,4.75,0,Brunch
Baked eggs,James Martin,0-30,10-30,2,5.0,0,Brunch
Baked eggs three ways ,Sarah Cook,0-30,10-30,3,5.0,0,Brunch
Baked feta with olive tapenade and baba ganoush,James Martin,0-30,10-30,0,0.0,Vegetarian,Recipe
Baked figs with Stilton,James Martin,0-30,10-30,0,0.0,Vegetarian,Starters and nibbles
Baked figs with honey and thyme and Sauternes sabayon,Paul Rankin,0-30,10-30,0,0.0,Vegetarian,Desserts
Baked fish with green olive tapenade,Antony Worrall Thompson,0-30,0-10,1,5.0,0,Main course
Baked garlic,Rick Stein,0-30,10-30,0,0.0,Vegetarian,Starters and nibbles
Baked ginger parkin with perry poached pear,James Martin,0-30,60-120,0,0.0,Vegetarian,Desserts
Baked ginger parkin with rhubarb,James Martin,0-30,60-120,0,0.0,Vegetarian,Desserts
"Baked ginger parkin with rhubarb, vanilla ice cream and hot spiced syrup",James Martin,0-30,60-120,0,0.0,Vegetarian,Cakes and baking
Baked goats' cheese with gazpacho sauce and coleslaw salad,Brian Turner,0-30,0-10,1,1.0,Vegetarian,Recipe
Baked haddock gratin,Gino D'Acampo,0-30,10-30,1,5.0,0,Main course
Baked haddock with crushed peas and chive butter sauce,Nick Nairn,0-30,10-30,0,0.0,0,Main course
Baked haddock with lentils and mascarpone,Marcus Wareing,0-30,30-60,13,4.92,0,Main course
Baked hake with green sauce and fennel salad,Dan Barber,0-30,0-10,1,5.0,0,Main course
Baked ham and egg pots,Becca Spry,0-30,10-30,3,5.0,0,Brunch
Baked lime cheesecake,Lesley Waters,0-30,60-120,3,4.33,Vegetarian,Desserts
Baked macaroni,Simon Rimmer,0-30,30-60,0,0.0,Vegetarian,Main course
Baked macaroni with meatballs,Simon Rimmer,30-60,30-60,0,0.0,0,Main course
Baked mushroom rarebit with apple and tomato chutney,James Martin,0-30,10-30,0,0.0,0,Recipe
Baked onion soup with gruyere cheese and madeira,Antony Worrall Thompson,0-30,60-120,0,0.0,Vegetarian,Light meals and snacks
Baked pappardelle with pancetta and porcini,Simon Hopkinson,0-30,30-60,23,4.87,0,Main course
Baked pasta shells filled with cheese,Gennaro Contaldo,0-30,60-120,24,4.79,0,Main course
Baked peaches with amaretti crumble and cream,Paul Rankin,0-30,10-30,0,0.0,Vegetarian,Desserts
Baked peaches with crushed amaretti,Katie and Giancarlo Caldesi,0-30,10-30,1,5.0,Vegetarian,Desserts
Baked plum tart,Clare Auger,0-30,10-30,0,0.0,Vegetarian,Cakes and baking
Baked plums with mascarpone,Antony Worrall Thompson,0-30,10-30,1,5.0,Vegetarian,Desserts
Baked poached haddock and egg pots,Becca Spry,0-30,10-30,4,5.0,0,Recipe
"Baked pork spare rib chops with pears, potatoes, onions and Roquefort butter",Diana Henry,1-20,30-60,2,4.0,0,Main course
Baked potato three ways,Matt Tebbutt,0-30,30-60,0,0.0,0,Light meals and snacks
"Baked potato with bacon, taleggio and leek",James Martin,0-30,60-120,6,5.0,0,Main course
Baked potato with leeks,Sophie Dahl,0-30,60-120,2,5.0,Vegetarian,Main course
Baked potatoes with Middle Eastern beans and greens,Hattie Ellis,0-30,60-120,5,4.4,Vegetarian,Main course
Baked raspberry cheesecake,Silvena Rowe,0-30,60-120,1,5.0,Vegetarian,Desserts
Baked rhubarb compôte,Alastair Little,overnight,10-30,1,5.0,0,Desserts
Baked rice pudding with raspberry sauce,James Martin,0-30,60-120,1,5.0,Vegetarian,Desserts
Baked rice pudding with spiced apple compôte,Paul Merrett,0-30,60-120,1,5.0,Vegetarian,Desserts
Baked risotto,Kate Morris and Sally Brown,0-30,10-30,1,3.0,0,Light meals and snacks
Baked rolled sole with white wine and dill sauce,Nick Nairn,0-30,10-30,1,3.0,0,Main course
Baked salmon and couscous parcels,Miguel Barclay,0-30,10-30,17,4.59,0,Main course
Baked salmon with chorizo rice,Simon Rimmer,0-30,30-60,22,4.64,0,Main course
Baked salmon with parmesan and parsley crust,Mary Berry,0-30,10-30,21,5.0,0,Main course
Baked samosas,Manju Malhi,30-60,30-60,3,2.33,Vegetarian,Side dishes
"Baked scallops, pickled crown prince squash and winter broth",Tommy Banks,0-30,0-10,0,0.0,0,Starters and nibbles
"Baked sea bass with braised baby purple artichokes, asparagus and a white wine foam",James Martin,0-30,10-30,0,0.0,0,Main course
Baked sea bass with fennel and porcini mushroom,Theo Randall,0-30,10-30,0,0.0,0,Main course
Baked sea bream Rota-style,Rick Stein,0-30,30-60,14,4.57,0,Main course
Baked sea bream with garlic prawns,The Hairy Bikers,0-30,10-30,0,0.0,0,Main course
Baked spaghetti,Kate Morris and Sally Brown,0-30,10-30,0,0.0,0,Light meals and snacks
Baked spider crab,Michael O'Hare,0-30,10-30,0,0.0,0,Main course
Baked sticky toffee pudding with toffee sauce,James Martin,0-30,30-60,5,4.8,Vegetarian,Cakes and baking
Baked stuffed apples in cider,Brian Turner,0-30,30-60,0,0.0,Vegetarian,Desserts
Baked stuffed aubergine with walnut and Roquefort,James Martin,0-30,30-60,4,3.75,Vegetarian,Main course
Baked sweet potato,Rebecca Sargent,0-30,60-120,8,4.62,Vegetarian,Main course
Baked sweet potato with roasted vegetables and bulgur wheat,Rebecca Sargent,0-30,60-120,0,0.0,Vegetarian,Main course
Baked turkey and spinach samosas,Tom Kerridge,0-30,10-30,10,5.0,0,Light meals and snacks
Baked vanilla tart with Earl Grey prunes,Angela Hartnett,1-20,30-60,1,5.0,Vegetarian,Desserts
Baked white chocolate cheesecake,Ben O'Donoghue,0-30,30-60,0,0.0,Vegetarian,Desserts
Baked whole trout with a watercress salsa verde,James Martin,0-30,10-30,0,0.0,0,Main course
Bakewell tart,The Hairy Bikers,0-30,30-60,8,5.0,Vegetarian,Cakes and baking
Bakewell traybake,Jackie Kearney,30-60,10-30,8,4.62,Vegetarian,Cakes and baking
Baklava bites,Andrew Smyth,0-30,10-30,0,0.0,Vegetarian,Desserts
"Baklava with rose, cardamom and pistachio or orange, cinnamon, walnut and almond",Richard Burr,0-30,30-60,0,0.0,Vegetarian,Desserts
Balinese Rice Pudding,The Hairy Bikers,overnight,30-60,0,0.0,Vegetarian,Desserts
"Balsamic and honey-glazed steak with spinach, spicy potatoes and rosemary oil",Gino D'Acampo,0-30,10-30,0,0.0,0,Main course
Balsamic glazed lamb with marinated courgette ribbons,Gino D'Acampo,0-30,10-30,0,0.0,0,Main course
Balsamic-glazed sesame salmon with spicy cherry tomatoes and spinach,Gino D'Acampo,0-30,10-30,0,0.0,0,Main course
Baltic crab salad,Silvena Rowe,0-30,0,0,0.0,0,Recipe
Banana and bacon pancakes,The Hairy Bikers,0-30,10-30,3,5.0,0,Brunch
Banana and blueberry ice cream,Kate Morris and Sally Brown,00-120,0,0,0.0,0,Desserts
Banana and chocolate brownie pudding,Paul A Young,00-120,10-30,23,4.57,Vegetarian,Desserts
Banana and chocolate parachute parcels,Kate Morris and Sally Brown,0-30,10-30,0,0.0,0,Desserts
Banana and coconut porridge,Fiona Hunter,0-30,0-10,1,5.0,Vegetarian,Brunch
Banana and custard tart,James Martin,30-60,30-60,0,0.0,Vegetarian,Desserts
Banana and pecan cupcakes,Aaron Craze,0-30,10-30,1,3.0,Vegetarian,Cakes and baking
Banana and rum milkshake,Levi Roots,0-30,0,0,0.0,Vegetarian,Drinks and cocktails
Banana and semolina sheera,Sejal Sukhadwala,0-30,10-30,0,0.0,Vegetarian,Desserts
Banana and toffee pudding,Kate Morris and Sally Brown,0-30,10-30,1,5.0,Vegetarian,Desserts
Banana and treacle pudding,The Hairy Bikers,30-60,00-120,1,5.0,Vegetarian,Desserts
Banana blossom curry ,Romy Gill,0-30,10-30,2,5.0,Vegetarian,Main course
Banana bread loaf,Jaye Jacobs,0-30,60-120,15,3.87,Vegetarian,Cakes and baking
Banana cake,James Martin,0-30,30-60,20,4.55,Vegetarian,Cakes and baking
Banana cake with miso caramel and sunflower seed praline ,Chantelle Nicholson,0-30,30-60,2,3.5,0,Desserts
Banana choc ices,Tom Kerridge,00-120,0,7,4.86,Vegetarian,Desserts
Banana cocoa crunch overnight oats,Emily Angle,overnight,0,9,4.22,Vegetarian,Brunch
Banana ice cream ‘cheesecake’ ,Nadiya Hussain,0-30,0-10,18,2.89,Vegetarian,Desserts
Banana millionaire's shortbread with banana 'ice cream',James Martin,00-120,30-60,1,5.0,Vegetarian,Cakes and baking
Banana muffins,Jill Dupleix,0-30,10-30,30,4.43,Vegetarian,Cakes and baking
Banana pancakes,Rebecca Sargent,0-30,0-10,25,4.44,Vegetarian,Brunch
Banana smoothie,Fiona Hunter,0-30,0,1,5.0,Vegetarian,Brunch
Banana soufflé with banana ice cream and caramel sauce,Matt Tebbutt,00-120,10-30,1,5.0,Vegetarian,Desserts
Banana splits,The Hairy Bikers,30-60,10-30,2,3.0,Vegetarian,Desserts
Banana tart tatin,Paul Hollywood,0-30,10-30,0,0.0,Vegetarian,Desserts
Banana tarte tatin,The Hairy Bikers,0-30,30-60,0,0.0,Vegetarian,Desserts
Banana tarte tatin ,Nadiya Hussain,00-120,30-60,27,4.3,Vegetarian,Desserts
Bananas Foster,James Martin,0-30,0-10,0,0.0,Vegetarian,Desserts
Bang bang cauliflower,Lucy Parker,0-30,10-30,12,4.5,Vegetarian,Side dishes
Bang bang chicken,Sunil Vijayakar,0-30,0-10,22,4.91,0,Main course
Bang bang turkey,The Hairy Bikers,30-60,10-30,7,4.43,0,Main course
Bangers and mash,Donal Skehan,0-30,10-30,3,4.67,0,Main course
Bangers and sweet potato mash,Tom Kerridge,0-30,30-60,9,4.89,0,Main course
Bangers with herby mash and onion gravy,Merrilees Parker,0-30,30-60,3,4.67,0,Recipe
Bangladeshi chicken korma ,Enam Uzzaman,0-30,00-120,4,3.75,0,Main course
Bangladeshi venison curry,James Martin,0-30,10-30,1,1.0,0,Main course
Banh mi ,Rachel Phipps,1-20,10-30,7,3.86,0,Light meals and snacks
Banh xeo (Crispy Vietnamese pancake),Tony Singh,0-30,30-60,0,0.0,0,Light meals and snacks
Banoffee cheesecake with chocolate sauce,James Martin,0-30,10-30,4,5.0,Vegetarian,Desserts
Banoffee pie,Mary Berry,1-20,10-30,0,0.0,Vegetarian,Cakes and baking
Bara brith,Mary Hamilton,overnight,60-120,45,3.84,Vegetarian,Cakes and baking
Bara brith sheep biscuits,Louise,30-60,10-30,0,0.0,Vegetarian,Cakes and baking
Barbary duck with cherries and chocolate ganache,Jason Atherton,30-60,60-120,0,0.0,0,Main course
Barbecue belly pork,The Hairy Bikers,overnight,10-30,2,3.5,0,Main course
Barbecue chicken and rice wraps,Rob Eades,0-30,10-30,8,4.25,0,Main course
Barbecue ribs with celeriac slaw,James Martin,0-30,00-120,6,4.83,0,Main course
Barbecue sauce,Matt Tebbutt,0-30,0,0,0.0,0,Other
"Barbecue smoked sea trout with burnt lemon, miso and samphire",Elizabeth Allen,0-30,10-30,0,0.0,0,Light meals and snacks
Barbecued lamb belly wraps,James Martin,0-30,60-120,1,4.0,0,Main course
"Barbecued lamb with baked squash, anchovy, capers and brown butter",Ben Tish,0-30,60-120,0,0.0,0,Main course
Barbecued lamb with salsa verde,Adam Byatt,overnight,10-30,0,0.0,0,Main course
Barbecued langoustines in garlic and parsley marinade,Levi Roots,30-60,10-30,0,0.0,0,Recipe
"Barbecued marinated chicken breast with lime, coriander, ginger and chilli",Michael Caines,00-120,10-30,0,0.0,0,Main course
Barbecued salmon skewers with raita,Rachel Phipps,30-60,10-30,4,5.0,0,Main course
Barbecued sardines,James Martin,overnight,0-10,0,0.0,0,Main course
Barbecued sausages with beer-mustard onions,Jo Pratt,0-30,30-60,2,4.0,0,Main course
Barbecued sirloin with chimichurri sauce,Valentine Warner,overnight,30-60,2,5.0,0,Main course
"Barbecued turbot and leeks, girolles and fresh almonds",Jun Tanaka,0-30,10-30,0,0.0,0,Main course
Barbecued veal chops with fresh herbs and salmoriglio,Valentine Warner,overnight,10-30,2,5.0,0,Main course
Barmbrack parfait with whiskey prunes,Donal Skehan,overnight,60-120,0,0.0,Vegetarian,Desserts
Barnsley chops with Cumberland sauce,The Hairy Bikers,0-30,10-30,2,5.0,0,Main course
Basic braised mince,Paul Merrett,0-30,60-120,1,5.0,0,Main course
Basic chicken curry,The Gangotra Family,0-30,30-60,3,5.0,0,Main course
Basic jasmine rice,Ching-He Huang,0-30,10-30,1,5.0,Vegetarian,Recipe
Basic muesli,Jo Pratt,0-30,10-30,1,5.0,Vegetarian,Brunch
Basic tomato sauce ,James Martin,0-30,10-30,2,5.0,Vegetarian,Other
Basic tortellini with ricotta and pine nuts,James Martin,1-20,0-10,1,5.0,Vegetarian,Light meals and snacks
Basic white rolls,The Hairy Bikers,00-120,0-10,37,4.57,Vegetarian,Cakes and baking
Basil and summer fruit pudding with basil syrup,James Martin,30-60,0-10,0,0.0,Vegetarian,Desserts
Basil sorbet with individual blackberry and basil cream tarts,James Martin,0-30,10-30,1,5.0,Vegetarian,Desserts
Basque chicken and chorizo pie,The Hairy Bikers,0-30,30-60,11,4.45,0,Main course
Basque chicken with artichoke and pepper salad,Daniel Boulud,00-120,30-60,0,0.0,0,Main course
Batata vada with tamarind sauce,The Gangotra Family,0-30,30-60,0,0.0,Vegetarian,Starters and nibbles
Batbout flatbread,Nargisse Benkabbou,1-20,0-10,3,5.0,Vegetarian,Cakes and baking
Battenberg cake,The Hairy Bikers,30-60,10-30,5,4.6,Vegetarian,Cakes and baking
Battered cod with chips and homemade tomato ketchup,James Martin,0-30,30-60,0,0.0,0,Main course
Battered pollock baguettes with mushy peas and lemon mayonnaise,James Martin,overnight,00-120,1,5.0,0,Main course
Bavette steak with mash and garlic mushrooms,Gordon Jones,0-30,30-60,0,0.0,0,Main course
Beachside paella,The Hairy Bikers,0-30,10-30,8,4.0,0,Main course
Bean and rice burrito,Rachel Allen,0-30,10-30,3,4.0,Vegetarian,Light meals and snacks
"Bean and tomato stew with garlic bread, griddled vegetables and basil oil",Lesley Waters,0-30,10-30,0,0.0,Vegetarian,Main course
Bean and tomato tortilla wraps with guacamole,Lesley Waters,0-30,10-30,0,0.0,Vegetarian,Main course
Bean casserole,Nick Nairn,0-30,10-30,0,0.0,0,Main course
Bean salad,James Tanner,0-30,0-10,0,0.0,Vegetarian,Recipe
"Bean soup with tomato salsa, roasted corn and fried tortilla chips",Matt Tebbutt,0-30,30-60,5,3.8,Vegetarian,Main course
Bean soup with vegan pesto,Dr Rupy Aujla,0-30,10-30,8,3.88,Vegetarian,Light meals and snacks
Beef 'tagliata',Sarah Raven,overnight,10-30,0,0.0,0,Main course
Beef BBQ ribs,Tom Kerridge,overnight,00-120,3,4.67,0,Main course
Beef Madras,Manju Malhi,0-30,10-30,2,4.0,0,Main course
Beef Wellington,Mary Berry,1-20,60-120,4,5.0,0,Main course
Beef Wellington parcels,Donal Skehan,0-30,30-60,1,5.0,0,Main course
Beef Wellington with purple broccoli and jus,James Martin,30-60,30-60,1,5.0,0,Main course
Beef Wellington with truffles,Michel Roux Jr.,30-60,60-120,5,4.4,0,Main course
Beef Wellington with wild mushroom Madeira sauce,James Martin,30-60,60-120,3,5.0,0,Main course
Beef and Stilton pie with celeriac mash and honey-roasted beetroot,The Hairy Bikers,00-120,00-120,0,0.0,0,Main course
Beef and ale pie,James Martin,0-30,00-120,1,5.0,0,Main course
Beef and ale pie with mushy peas,James Martin,overnight,00-120,0,0.0,0,Main course
Beef and ale stew,Angela Hartnett,0-30,00-120,23,4.22,0,Main course
Beef and ale stew with dumplings,Tom Kerridge,0-30,00-120,8,4.0,0,Main course
Beef and ale stew with horseradish dumplings,Mary Berry,30-60,00-120,12,5.0,0,Main course
Beef and apple tagine,The Hairy Bikers,0-30,00-120,9,5.0,0,Main course
Beef and aubergine fatteh ,Nigella Lawson,0-30,30-60,17,4.94,0,Light meals and snacks
Beef and bean burrito,Tim Maddams,0-30,10-30,4,4.5,0,Main course
Beef and blue cheese puff pastry pizza ,Tom Kerridge,1-20,60-120,3,3.67,0,Main course
Beef and blue cheese risotto ,Tom Kerridge,overnight,00-120,2,5.0,0,Main course
Beef and chorizo stew,Dick Strawbridge,0-30,00-120,1,5.0,0,Main course
Beef and horseradish sausage rolls ,Nadiya Hussain,30-60,10-30,1,5.0,0,Starters and nibbles
Beef and mushroom pie,James Martin,0-30,00-120,3,3.33,0,Main course
Beef and mushroom stew ,Mary Berry,0-30,00-120,13,4.77,0,Main course
Beef and mustard pie,James Martin,30-60,00-120,3,5.0,0,Main course
Beef and onion pie with a herby garlic and anchovy sauce,Matt Tebbutt,0-30,00-120,0,0.0,0,Main course
Beef and onion pie with cheese crust,Simon Rimmer,30-60,30-60,3,4.67,0,Main course
Beef and oyster pie,The Hairy Bikers,0-30,00-120,1,4.0,0,Main course
Beef and pea pilaf,Tony Singh,0-30,10-30,2,5.0,0,Main course
Beef and pepper stir-fry,Mary Berry,0-30,10-30,28,4.82,0,Main course
Beef and red pepper stir fry with egg fried rice,James Martin,0-30,10-30,0,0.0,0,Main course
Beef and shiitake mushroom stir-fry,Michael Caines,0-30,10-30,0,0.0,0,Main course
Beef biryani,Tom Kerridge,0-30,60-120,43,4.58,0,Main course
Beef bourguignon,Simon Rimmer,00-120,00-120,6,4.83,0,Main course
Beef bourguignon with bubble and squeak,Mike Robinson,0-30,00-120,1,5.0,0,Main course
Beef bourguignon with mashed potatoes,James Martin,0-30,00-120,0,0.0,0,Main course
Beef braised in beer with classic English suet dumplings served with buttery mash,Antony Worrall Thompson,overnight,00-120,2,5.0,0,Main course
Beef burger with thyme potato wedges,Nick Nairn,0-30,30-60,2,3.0,0,Main course
Beef burgers,Elizabeth Guy,0-30,10-30,0,0.0,0,Main course
Beef burgers with beetroot and carrot slaw,Mary Berry,0-30,0-10,1,5.0,0,Main course
Beef burritos,Angela Hartnett,0-30,10-30,6,4.17,0,Main course
Beef carpaccio with fried capers and mustard mayo,Rosie Birkett,1-20,10-30,0,0.0,0,Light meals and snacks
Beef casserole,Justine Pattison,0-30,00-120,16,4.62,0,Main course
Beef casserole with horseradish and mustard,Mary Berry,0-30,00-120,13,4.77,0,Main course
Beef cheek and butternut broth in sourdough ,Nigel Slater,0-30,00-120,3,3.33,0,Light meals and snacks
"Beef cheek, kidney and marrow pie",Matt Tebbutt,30-60,00-120,0,0.0,0,Main course
Beef chilli flash-fry with yoghurt rice,Cyrus Todiwala,1-20,10-30,0,0.0,0,Main course
Beef cobbler with cheddar and rosemary scones ,Paul Hollywood,0-30,60-120,11,4.45,0,Main course
Beef consommé with tortellini,James Martin,30-60,00-120,1,5.0,0,Main course
Beef curry Marie Kiteria ,Cyrus Todiwala,30-60,60-120,1,4.0,0,Main course
